Date,Transaction Description,Category,Amount,Type,Month,Net,Cumulative_Savings
2021-01-06,Call door.,Entertainment,1067.02,Expense,2021-01,-1067.02,-154675.40000000002
2021-01-06,Message seek civil all.,Travel,723.34,Expense,2021-01,-723.34,-155398.74000000002
2021-01-08,Him note painting quickly.,Utilities,348.27,Expense,2021-01,-348.27,-155747.01
2021-01-10,Know baby case happen.,Other,2472.0,Income,2021-01,2472.0,-153275.01
2021-01-10,Economic box save.,Utilities,472.06,Expense,2021-01,-472.06,-153747.07
2021-01-11,Hit no energy employee land.,Salary,518.1,Expense,2021-01,-518.1,-154265.17
2021-01-12,Customer career available common.,Other,2856.0,Income,2021-01,2856.0,-151409.17
2021-01-13,Specific whose.,Utilities,156.99,Expense,2021-01,-156.99,-151566.16
2021-01-13,Remember nearly face feel.,Travel,1281.49,Expense,2021-01,-1281.49,-152847.65
2021-01-14,Soldier meeting building.,Travel,919.1,Expense,2021-01,-919.1,-153766.75
2021-01-14,Door management guess.,Shopping,1708.14,Expense,2021-01,-1708.14,-155474.89
2021-01-15,Huge response long.,Travel,53.66,Expense,2021-01,-53.66,-155528.55000000002
2021-01-15,Level work candidate this.,Other,3440.0,Income,2021-01,3440.0,-152088.55000000002
2021-01-17,Statement available win politics.,Shopping,556.22,Expense,2021-01,-556.22,-152644.77000000002
2021-01-17,Quite general there sister.,Food & Drink,1822.13,Expense,2021-01,-1822.13,-154466.90000000002
2021-01-19,Item treat area.,Travel,1553.72,Expense,2021-01,-1553.72,-156020.62000000002
2021-01-20,Check clearly follow remember generation.,Health & Fitness,445.82,Expense,2021-01,-445.82,-156466.44000000003
2021-01-24,Suffer economy play.,Other,1620.0,Income,2021-01,1620.0,-154846.44000000003
2021-01-26,By field move.,Food & Drink,624.78,Expense,2021-01,-624.78,-155471.22000000003
2021-01-27,Option oil commercial.,Health & Fitness,1467.4,Expense,2021-01,-1467.4,-156938.62000000002
2021-01-27,American tell ball we side.,Other,3176.0,Income,2021-01,3176.0,-153762.62000000002
2021-01-27,Short indicate police.,Utilities,409.58,Expense,2021-01,-409.58,-154172.2
2021-01-27,Nation politics few each southern.,Health & Fitness,1066.4,Expense,2021-01,-1066.4,-155238.6
2021-01-29,Law read citizen.,Utilities,521.37,Expense,2021-01,-521.37,-155759.97
2021-02-02,Less future century technology.,Salary,1935.09,Expense,2021-02,-1935.09,-157695.06
2021-02-05,Wish candidate have no.,Health & Fitness,1610.42,Expense,2021-02,-1610.42,-159305.48
2021-02-05,Letter environment easy.,Rent,290.11,Expense,2021-02,-290.11,-159595.59
2021-02-08,Face his.,Shopping,1934.87,Expense,2021-02,-1934.87,-161530.46
2021-02-08,While total spend.,Health & Fitness,189.7,Expense,2021-02,-189.7,-161720.16
2021-02-09,Couple city you level.,Travel,1077.78,Expense,2021-02,-1077.78,-162797.94
2021-02-09,Age war measure whom.,Travel,1173.27,Expense,2021-02,-1173.27,-163971.21
2021-02-11,Good anything manager think pressure.,Health & Fitness,225.61,Expense,2021-02,-225.61,-164196.81999999998
2021-02-11,Mr suggest issue.,Food & Drink,1242.9,Expense,2021-02,-1242.9,-165439.71999999997
2021-02-13,Shake hand hundred now.,Health & Fitness,1831.36,Expense,2021-02,-1831.36,-167271.07999999996
2021-02-16,Network available mean share.,Rent,1274.45,Expense,2021-02,-1274.45,-168545.52999999997
2021-02-18,Quite budget window hour some.,Travel,1301.99,Expense,2021-02,-1301.99,-169847.51999999996
2021-02-19,Voice sense current meeting matter.,Investment,804.0,Income,2021-02,804.0,-169043.51999999996
2021-02-20,Case four.,Salary,241.08,Expense,2021-02,-241.08,-169284.59999999995
2021-02-21,Lead paper middle foreign party.,Utilities,783.41,Expense,2021-02,-783.41,-170068.00999999995
2021-02-23,Wrong school federal from.,Shopping,1178.81,Expense,2021-02,-1178.81,-171246.81999999995
2021-02-24,Majority none little admit former.,Shopping,1313.29,Expense,2021-02,-1313.29,-172560.10999999996
2021-02-27,On someone rise read.,Shopping,1878.72,Expense,2021-02,-1878.72,-174438.82999999996
2021-02-28,Listen whose situation simply officer.,Health & Fitness,442.37,Expense,2021-02,-442.37,-174881.19999999995
2021-03-02,Occur red.,Other,4960.0,Income,2021-03,4960.0,-169921.19999999995
2021-03-02,Kid industry.,Health & Fitness,130.49,Expense,2021-03,-130.49,-170051.68999999994
2021-03-02,Lose modern return simple herself.,Entertainment,1712.35,Expense,2021-03,-1712.35,-171764.03999999995
2021-03-04,Improve simple turn.,Rent,1898.53,Expense,2021-03,-1898.53,-173662.56999999995
2021-03-05,Million night your.,Rent,1328.91,Expense,2021-03,-1328.91,-174991.47999999995
2021-03-05,Heavy what least mouth national.,Food & Drink,110.65,Expense,2021-03,-110.65,-175102.12999999995
2021-03-07,Machine whatever everything fear walk.,Utilities,1576.09,Expense,2021-03,-1576.09,-176678.21999999994
2021-03-07,Relate real major.,Entertainment,1176.9,Expense,2021-03,-1176.9,-177855.11999999994
2021-03-08,Night various return explain.,Entertainment,663.83,Expense,2021-03,-663.83,-178518.94999999992
2021-03-09,Here woman stand west source.,Investment,2771.0,Income,2021-03,2771.0,-175747.94999999992
2021-03-09,Explain research.,Utilities,1975.18,Expense,2021-03,-1975.18,-177723.12999999992
2021-03-10,Pretty section degree still.,Utilities,228.75,Expense,2021-03,-228.75,-177951.87999999992
2021-03-12,Receive case past only drug.,Utilities,39.57,Expense,2021-03,-39.57,-177991.44999999992
2021-03-15,Race case.,Other,929.0,Income,2021-03,929.0,-177062.44999999992
2021-03-15,Point appear including.,Entertainment,1181.82,Expense,2021-03,-1181.82,-178244.26999999993
2021-03-16,Imagine various there.,Other,4809.0,Income,2021-03,4809.0,-173435.26999999993
2021-03-16,Sense expert experience.,Investment,4401.0,Income,2021-03,4401.0,-169034.26999999993
2021-03-17,Present discussion.,Health & Fitness,1031.34,Expense,2021-03,-1031.34,-170065.60999999993
2021-03-17,Individual study value.,Investment,855.0,Income,2021-03,855.0,-169210.60999999993
2021-03-18,Small control see the.,Travel,921.5,Expense,2021-03,-921.5,-170132.10999999993
2021-03-19,Across nothing.,Food & Drink,1997.19,Expense,2021-03,-1997.19,-172129.29999999993
2021-03-20,Expect writer myself management.,Shopping,1375.33,Expense,2021-03,-1375.33,-173504.62999999992
2021-03-21,Life cover both class.,Salary,156.25,Expense,2021-03,-156.25,-173660.87999999992
2021-03-22,Foreign husband believe word local.,Travel,912.89,Expense,2021-03,-912.89,-174573.76999999993
2021-03-22,Purpose cover particularly police if.,Other,3620.0,Income,2021-03,3620.0,-170953.76999999993
2021-03-22,Responsibility add front.,Investment,1038.0,Income,2021-03,1038.0,-169915.76999999993
2021-03-23,End dog.,Rent,1588.26,Expense,2021-03,-1588.26,-171504.02999999994
2021-03-23,Few reveal activity president.,Investment,4023.0,Income,2021-03,4023.0,-167481.02999999994
2021-03-24,Property let.,Entertainment,833.49,Expense,2021-03,-833.49,-168314.51999999993
2021-03-25,Rather type thousand show.,Shopping,837.82,Expense,2021-03,-837.82,-169152.33999999994
2021-03-26,Happen determine whatever.,Other,3060.0,Income,2021-03,3060.0,-166092.33999999994
2021-03-27,Lawyer writer health.,Health & Fitness,1907.65,Expense,2021-03,-1907.65,-167999.98999999993
2021-03-28,Serious soon stay seven.,Salary,143.6,Expense,2021-03,-143.6,-168143.58999999994
2021-03-29,Land region back nor article.,Rent,869.43,Expense,2021-03,-869.43,-169013.01999999993
2021-03-30,Dark mr clearly take.,Health & Fitness,1625.42,Expense,2021-03,-1625.42,-170638.43999999994
2021-04-01,Quite response.,Health & Fitness,1343.33,Expense,2021-04,-1343.33,-171981.76999999993
2021-04-02,Together knowledge.,Shopping,1737.5,Expense,2021-04,-1737.5,-173719.26999999993
2021-04-03,How staff.,Entertainment,317.91,Expense,2021-04,-317.91,-174037.17999999993
2021-04-03,Car indeed nor next.,Travel,1204.82,Expense,2021-04,-1204.82,-175241.99999999994
2021-04-03,Authority interest red must art.,Rent,706.73,Expense,2021-04,-706.73,-175948.72999999995
2021-04-08,Year him thank trade.,Shopping,1691.86,Expense,2021-04,-1691.86,-177640.58999999994
2021-04-08,All important shoulder she.,Rent,1527.59,Expense,2021-04,-1527.59,-179168.17999999993
2021-04-09,Radio product.,Food & Drink,1221.9,Expense,2021-04,-1221.9,-180390.07999999993
2021-04-11,President girl condition.,Travel,67.62,Expense,2021-04,-67.62,-180457.69999999992
2021-04-11,More road development about.,Travel,1843.86,Expense,2021-04,-1843.86,-182301.5599999999
2021-04-12,Leg rest interest.,Utilities,1741.03,Expense,2021-04,-1741.03,-184042.5899999999
2021-04-13,Easy get every.,Shopping,148.47,Expense,2021-04,-148.47,-184191.0599999999
2021-04-18,Special information.,Food & Drink,192.6,Expense,2021-04,-192.6,-184383.65999999992
2021-04-19,Deal beyond almost.,Shopping,845.47,Expense,2021-04,-845.47,-185229.12999999992
2021-04-19,Scientist i doctor.,Health & Fitness,630.16,Expense,2021-04,-630.16,-185859.28999999992
2021-04-19,Cell year.,Rent,1767.85,Expense,2021-04,-1767.85,-187627.13999999993
2021-04-19,Five our pull fly few.,Investment,1168.0,Income,2021-04,1168.0,-186459.13999999993
2021-04-21,Determine feel article we they.,Shopping,976.47,Expense,2021-04,-976.47,-187435.60999999993
2021-04-23,Quickly new another general poor.,Travel,438.98,Expense,2021-04,-438.98,-187874.58999999994
2021-04-23,Five indicate chance heavy senior.,Health & Fitness,865.53,Expense,2021-04,-865.53,-188740.11999999994
2021-04-24,Support feeling remain.,Salary,1058.6,Expense,2021-04,-1058.6,-189798.71999999994
2021-04-27,None whose.,Entertainment,796.57,Expense,2021-04,-796.57,-190595.28999999995
2021-04-27,Care drug data position two.,Food & Drink,416.8,Expense,2021-04,-416.8,-191012.08999999994
2021-04-27,Movie stop.,Utilities,1530.68,Expense,2021-04,-1530.68,-192542.76999999993
2021-04-30,Help painting always.,Rent,25.38,Expense,2021-04,-25.38,-192568.14999999994
2021-05-02,Source onto provide.,Utilities,267.08,Expense,2021-05,-267.08,-192835.22999999992
2021-05-04,Decade trade field training.,Entertainment,1005.52,Expense,2021-05,-1005.52,-193840.7499999999
2021-05-04,While bring yourself.,Health & Fitness,153.43,Expense,2021-05,-153.43,-193994.1799999999
2021-05-06,Receive region however.,Food & Drink,878.08,Expense,2021-05,-878.08,-194872.2599999999
2021-05-07,Have including none.,Rent,816.01,Expense,2021-05,-816.01,-195688.2699999999
2021-05-07,Focus executive letter possible final.,Rent,1725.6,Expense,2021-05,-1725.6,-197413.8699999999
2021-05-07,Third letter sort reveal seven.,Shopping,1421.9,Expense,2021-05,-1421.9,-198835.7699999999
2021-05-10,Administration network once.,Utilities,1604.63,Expense,2021-05,-1604.63,-200440.3999999999
2021-05-11,Charge form here.,Health & Fitness,185.38,Expense,2021-05,-185.38,-200625.7799999999
2021-05-11,Nearly want front shake.,Entertainment,877.0,Expense,2021-05,-877.0,-201502.7799999999
2021-05-12,Leave run goal cause.,Rent,797.58,Expense,2021-05,-797.58,-202300.3599999999
2021-05-14,Contain threat wrong whatever.,Health & Fitness,450.93,Expense,2021-05,-450.93,-202751.2899999999
2021-05-14,Stuff avoid.,Rent,1025.86,Expense,2021-05,-1025.86,-203777.14999999988
2021-05-15,Include successful.,Investment,3362.0,Income,2021-05,3362.0,-200415.14999999988
2021-05-17,Religious across.,Utilities,480.18,Expense,2021-05,-480.18,-200895.32999999987
2021-05-19,Health pay project pattern.,Investment,1921.0,Income,2021-05,1921.0,-198974.32999999987
2021-05-22,Administration mother in admit.,Rent,362.52,Expense,2021-05,-362.52,-199336.84999999986
2021-05-23,Within admit spend purpose south.,Salary,933.27,Expense,2021-05,-933.27,-200270.11999999985
2021-05-24,Truth modern.,Salary,1365.46,Expense,2021-05,-1365.46,-201635.57999999984
2021-05-24,People education great.,Health & Fitness,1729.85,Expense,2021-05,-1729.85,-203365.42999999985
2021-05-24,Health image.,Utilities,885.13,Expense,2021-05,-885.13,-204250.55999999985
2021-05-25,Wrong difficult range.,Travel,1594.7,Expense,2021-05,-1594.7,-205845.25999999986
2021-05-25,Behavior here.,Health & Fitness,1019.6,Expense,2021-05,-1019.6,-206864.85999999987
2021-05-27,Argue act commercial matter.,Salary,84.84,Expense,2021-05,-84.84,-206949.69999999987
2021-05-27,Not teach believe month.,Travel,162.69,Expense,2021-05,-162.69,-207112.38999999987
2021-05-29,Deep test thought.,Rent,1233.87,Expense,2021-05,-1233.87,-208346.25999999986
2021-05-30,Another avoid understand.,Salary,1164.86,Expense,2021-05,-1164.86,-209511.11999999985
2021-05-31,Up federal nor note.,Entertainment,649.84,Expense,2021-05,-649.84,-210160.95999999985
2021-05-31,Probably conference sure administration debate.,Food & Drink,904.97,Expense,2021-05,-904.97,-211065.92999999985
2021-06-02,Forward sense cause write right.,Utilities,1915.87,Expense,2021-06,-1915.87,-212981.79999999984
2021-06-02,Approach join stuff future.,Health & Fitness,1964.95,Expense,2021-06,-1964.95,-214946.74999999985
2021-06-03,Ahead event yeah make.,Investment,820.0,Income,2021-06,820.0,-214126.74999999985
2021-06-06,Wait it quickly produce beat.,Salary,1982.06,Expense,2021-06,-1982.06,-216108.80999999985
2021-06-06,Require bank child.,Utilities,734.16,Expense,2021-06,-734.16,-216842.96999999986
2021-06-06,First blood accept final.,Shopping,823.45,Expense,2021-06,-823.45,-217666.41999999987
2021-06-09,Bill beautiful issue.,Food & Drink,1580.56,Expense,2021-06,-1580.56,-219246.97999999986
2021-06-11,Mention billion bed never others.,Rent,666.08,Expense,2021-06,-666.08,-219913.05999999985
2021-06-11,Activity including single right.,Shopping,575.45,Expense,2021-06,-575.45,-220488.50999999986
2021-06-14,Occur college herself.,Utilities,673.39,Expense,2021-06,-673.39,-221161.89999999988
2021-06-15,Feeling manage as.,Utilities,1834.33,Expense,2021-06,-1834.33,-222996.22999999986
2021-06-16,Inside machine baby.,Shopping,266.61,Expense,2021-06,-266.61,-223262.83999999985
2021-06-20,Result many pattern.,Rent,626.07,Expense,2021-06,-626.07,-223888.90999999986
2021-06-20,Career according.,Health & Fitness,1628.24,Expense,2021-06,-1628.24,-225517.14999999985
2021-06-22,Success here television key.,Rent,1295.59,Expense,2021-06,-1295.59,-226812.73999999985
2021-06-23,Carry fly water cut fire.,Health & Fitness,46.28,Expense,2021-06,-46.28,-226859.01999999984
2021-06-24,Fact reason make office.,Entertainment,690.05,Expense,2021-06,-690.05,-227549.06999999983
2021-06-26,Heavy staff hotel box.,Entertainment,460.82,Expense,2021-06,-460.82,-228009.88999999984
2021-06-27,Or nation race.,Investment,2923.0,Income,2021-06,2923.0,-225086.88999999984
2021-06-28,Cause field education child.,Utilities,1198.52,Expense,2021-06,-1198.52,-226285.40999999983
2021-06-28,Available wrong look husband.,Investment,1856.0,Income,2021-06,1856.0,-224429.40999999983
2021-06-28,Well left.,Rent,1020.3,Expense,2021-06,-1020.3,-225449.70999999982
2021-06-28,Something story attorney summer.,Food & Drink,1327.24,Expense,2021-06,-1327.24,-226776.9499999998
2021-06-29,Myself so growth time.,Food & Drink,827.61,Expense,2021-06,-827.61,-227604.5599999998
2021-07-04,Point be shoulder price great.,Entertainment,1939.48,Expense,2021-07,-1939.48,-229544.0399999998
2021-07-04,Worker quality hundred sell whole.,Salary,475.67,Expense,2021-07,-475.67,-230019.70999999982
2021-07-04,Action else.,Salary,1808.91,Expense,2021-07,-1808.91,-231828.61999999982
2021-07-06,Newspaper reach determine hear leg.,Other,4282.0,Income,2021-07,4282.0,-227546.61999999982
2021-07-07,General agency bit.,Shopping,1010.78,Expense,2021-07,-1010.78,-228557.39999999982
2021-07-09,Break wait.,Utilities,1635.61,Expense,2021-07,-1635.61,-230193.0099999998
2021-07-09,Find lay deal lot.,Utilities,1747.27,Expense,2021-07,-1747.27,-231940.2799999998
2021-07-10,Feel special.,Rent,1425.69,Expense,2021-07,-1425.69,-233365.9699999998
2021-07-10,Just recent.,Other,3540.0,Income,2021-07,3540.0,-229825.9699999998
2021-07-11,Support possible.,Rent,577.28,Expense,2021-07,-577.28,-230403.2499999998
2021-07-11,Might necessary former.,Travel,904.15,Expense,2021-07,-904.15,-231307.3999999998
2021-07-11,Discussion if continue policy.,Shopping,192.51,Expense,2021-07,-192.51,-231499.9099999998
2021-07-12,Ahead pass culture or.,Salary,1770.41,Expense,2021-07,-1770.41,-233270.3199999998
2021-07-13,Relate day.,Shopping,115.98,Expense,2021-07,-115.98,-233386.2999999998
2021-07-14,Big the cost for leader.,Entertainment,778.47,Expense,2021-07,-778.47,-234164.76999999981
2021-07-15,Month police others particularly.,Investment,730.0,Income,2021-07,730.0,-233434.76999999981
2021-07-19,Girl suddenly.,Rent,1679.96,Expense,2021-07,-1679.96,-235114.7299999998
2021-07-19,Try opportunity public.,Utilities,283.82,Expense,2021-07,-283.82,-235398.5499999998
2021-07-23,Home others offer institution main.,Other,4174.0,Income,2021-07,4174.0,-231224.5499999998
2021-07-23,Draw bring health.,Salary,1395.18,Expense,2021-07,-1395.18,-232619.7299999998
2021-07-24,Never majority cell.,Rent,47.82,Expense,2021-07,-47.82,-232667.5499999998
2021-07-28,People tend weight machine.,Utilities,1102.12,Expense,2021-07,-1102.12,-233769.6699999998
2021-07-29,White measure manager range.,Shopping,231.26,Expense,2021-07,-231.26,-234000.92999999982
2021-08-02,Major bar air set.,Travel,252.48,Expense,2021-08,-252.48,-234253.40999999983
2021-08-06,Ever mrs.,Salary,134.99,Expense,2021-08,-134.99,-234388.39999999982
2021-08-07,Not significant manager member.,Salary,1197.51,Expense,2021-08,-1197.51,-235585.90999999983
2021-08-07,Environmental myself.,Investment,1676.0,Income,2021-08,1676.0,-233909.90999999983
2021-08-08,State among rest national wrong.,Food & Drink,1233.47,Expense,2021-08,-1233.47,-235143.37999999983
2021-08-09,Fear yourself last.,Shopping,382.75,Expense,2021-08,-382.75,-235526.12999999983
2021-08-11,Keep yes.,Health & Fitness,144.68,Expense,2021-08,-144.68,-235670.80999999982
2021-08-13,Specific onto go.,Food & Drink,787.0,Expense,2021-08,-787.0,-236457.80999999982
2021-08-13,Pattern size spend.,Shopping,1962.27,Expense,2021-08,-1962.27,-238420.0799999998
2021-08-15,Go exactly much food region.,Food & Drink,720.62,Expense,2021-08,-720.62,-239140.6999999998
2021-08-16,Environment teach world quickly believe.,Investment,1349.0,Income,2021-08,1349.0,-237791.6999999998
2021-08-18,Yeah term.,Health & Fitness,275.49,Expense,2021-08,-275.49,-238067.1899999998
2021-08-20,Economic represent stock.,Health & Fitness,1628.88,Expense,2021-08,-1628.88,-239696.0699999998
2021-08-21,Central plan physical heart.,Other,4420.0,Income,2021-08,4420.0,-235276.0699999998
2021-08-21,Idea seek.,Utilities,135.57,Expense,2021-08,-135.57,-235411.6399999998
2021-08-22,Wear force able similar.,Salary,83.6,Expense,2021-08,-83.6,-235495.23999999982
2021-08-23,Play recently sure somebody.,Entertainment,1772.72,Expense,2021-08,-1772.72,-237267.95999999982
2021-08-24,Why station manager.,Travel,1035.61,Expense,2021-08,-1035.61,-238303.5699999998
2021-08-25,Front official not.,Salary,514.09,Expense,2021-08,-514.09,-238817.6599999998
2021-08-27,Thus several animal phone.,Entertainment,579.36,Expense,2021-08,-579.36,-239397.0199999998
2021-08-29,Buy tax.,Food & Drink,1732.94,Expense,2021-08,-1732.94,-241129.9599999998
2021-09-05,A when dark read.,Rent,1600.69,Expense,2021-09,-1600.69,-242730.6499999998
2021-09-06,City usually ever.,Shopping,1489.18,Expense,2021-09,-1489.18,-244219.82999999978
2021-09-09,Bar professor power.,Shopping,684.68,Expense,2021-09,-684.68,-244904.50999999978
2021-09-09,Personal rise sense investment.,Other,3509.0,Income,2021-09,3509.0,-241395.50999999978
2021-09-09,Ability live.,Travel,1604.28,Expense,2021-09,-1604.28,-242999.78999999978
2021-09-10,Difficult quite act receive stage.,Rent,866.91,Expense,2021-09,-866.91,-243866.69999999978
2021-09-11,Local director become.,Utilities,1095.49,Expense,2021-09,-1095.49,-244962.18999999977
2021-09-11,Finish thing.,Rent,662.56,Expense,2021-09,-662.56,-245624.74999999977
2021-09-11,Similar send card year.,Salary,1209.22,Expense,2021-09,-1209.22,-246833.96999999977
2021-09-11,Most across.,Salary,709.58,Expense,2021-09,-709.58,-247543.54999999976
2021-09-15,Goal defense security turn.,Other,4063.0,Income,2021-09,4063.0,-243480.54999999976
2021-09-16,White fire cause everybody.,Health & Fitness,1031.04,Expense,2021-09,-1031.04,-244511.58999999976
2021-09-16,Beautiful beyond sell.,Food & Drink,159.33,Expense,2021-09,-159.33,-244670.91999999975
2021-09-17,Network outside parent.,Utilities,1906.05,Expense,2021-09,-1906.05,-246576.96999999974
2021-09-17,Day parent country.,Other,785.0,Income,2021-09,785.0,-245791.96999999974
2021-09-19,Position six soldier.,Investment,3500.0,Income,2021-09,3500.0,-242291.96999999974
2021-09-19,History drop point audience.,Food & Drink,1214.14,Expense,2021-09,-1214.14,-243506.10999999975
2021-09-19,Value car team nothing.,Health & Fitness,750.31,Expense,2021-09,-750.31,-244256.41999999975
2021-09-19,Raise several west side admit.,Utilities,1063.63,Expense,2021-09,-1063.63,-245320.04999999976
2021-09-20,Energy always.,Travel,506.73,Expense,2021-09,-506.73,-245826.77999999977
2021-09-21,Media pick may indeed.,Investment,4588.0,Income,2021-09,4588.0,-241238.77999999977
2021-09-28,Policy mrs.,Rent,530.94,Expense,2021-09,-530.94,-241769.71999999977
2021-10-01,Base bad tv.,Salary,437.0,Expense,2021-10,-437.0,-242206.71999999977
2021-10-07,Force only shake power poor.,Salary,408.35,Expense,2021-10,-408.35,-242615.06999999977
2021-10-08,Role suffer around beat.,Investment,4203.0,Income,2021-10,4203.0,-238412.06999999977
2021-10-13,Law participant.,Other,1219.0,Income,2021-10,1219.0,-237193.06999999977
2021-10-13,Budget remain reduce.,Health & Fitness,1339.0,Expense,2021-10,-1339.0,-238532.06999999977
2021-10-13,Well mission situation result.,Travel,1783.75,Expense,2021-10,-1783.75,-240315.81999999977
2021-10-16,Camera sit environmental though.,Utilities,1589.46,Expense,2021-10,-1589.46,-241905.27999999977
2021-10-20,Southern evening ask republican.,Rent,1970.41,Expense,2021-10,-1970.41,-243875.68999999977
2021-10-21,Baby lawyer growth matter note.,Entertainment,1582.84,Expense,2021-10,-1582.84,-245458.52999999977
2021-10-22,Effort bill off.,Other,4328.0,Income,2021-10,4328.0,-241130.52999999977
2021-10-24,Scientist able teach.,Utilities,1227.78,Expense,2021-10,-1227.78,-242358.30999999976
2021-10-24,Animal hair turn.,Other,3761.0,Income,2021-10,3761.0,-238597.30999999976
2021-10-27,Need trial.,Salary,1056.13,Expense,2021-10,-1056.13,-239653.43999999977
2021-10-27,Focus indicate result.,Rent,259.4,Expense,2021-10,-259.4,-239912.83999999976
2021-10-30,Number budget.,Rent,905.45,Expense,2021-10,-905.45,-240818.28999999978
2021-11-03,Development middle animal.,Health & Fitness,265.39,Expense,2021-11,-265.39,-241083.6799999998
2021-11-04,Theory tend.,Utilities,1537.89,Expense,2021-11,-1537.89,-242621.5699999998
2021-11-05,Beat lead hard factor.,Investment,1517.0,Income,2021-11,1517.0,-241104.5699999998
2021-11-05,Drug happy will young simply.,Travel,337.67,Expense,2021-11,-337.67,-241442.23999999982
2021-11-06,Character usually agency.,Entertainment,698.59,Expense,2021-11,-698.59,-242140.8299999998
2021-11-07,Player really act friend.,Travel,1693.41,Expense,2021-11,-1693.41,-243834.23999999982
2021-11-10,Billion morning draw.,Travel,259.09,Expense,2021-11,-259.09,-244093.3299999998
2021-11-15,Win central.,Rent,1010.12,Expense,2021-11,-1010.12,-245103.4499999998
2021-11-16,Analysis discuss.,Investment,1902.0,Income,2021-11,1902.0,-243201.4499999998
2021-11-17,Red head window be.,Health & Fitness,1686.63,Expense,2021-11,-1686.63,-244888.0799999998
2021-11-18,Door end fire.,Travel,1305.75,Expense,2021-11,-1305.75,-246193.8299999998
2021-11-18,Card star avoid nothing.,Food & Drink,171.63,Expense,2021-11,-171.63,-246365.45999999982
2021-11-19,Fish evening avoid dark.,Shopping,1240.04,Expense,2021-11,-1240.04,-247605.49999999983
2021-11-21,Choice clearly.,Other,2974.0,Income,2021-11,2974.0,-244631.49999999983
2021-11-21,Image movie who debate.,Shopping,601.89,Expense,2021-11,-601.89,-245233.38999999984
2021-11-21,Enter build citizen rather.,Investment,1794.0,Income,2021-11,1794.0,-243439.38999999984
2021-11-23,Structure foreign before.,Salary,934.24,Expense,2021-11,-934.24,-244373.62999999983
2021-11-26,How any federal star.,Utilities,632.04,Expense,2021-11,-632.04,-245005.66999999984
2021-11-27,Weight take.,Health & Fitness,1950.99,Expense,2021-11,-1950.99,-246956.65999999983
2021-11-28,Economic left sound cause activity.,Other,4718.0,Income,2021-11,4718.0,-242238.65999999983
2021-12-01,Cup hundred rather.,Health & Fitness,491.06,Expense,2021-12,-491.06,-242729.71999999983
2021-12-02,Only true avoid young cup.,Other,2530.0,Income,2021-12,2530.0,-240199.71999999983
2021-12-03,Walk anything.,Shopping,504.06,Expense,2021-12,-504.06,-240703.77999999982
2021-12-03,Begin suggest speak.,Investment,2877.0,Income,2021-12,2877.0,-237826.77999999982
2021-12-08,Start house ahead raise.,Utilities,1628.82,Expense,2021-12,-1628.82,-239455.59999999983
2021-12-09,Democrat cost evidence third.,Health & Fitness,387.77,Expense,2021-12,-387.77,-239843.36999999982
2021-12-09,People early far include nearly.,Other,4585.0,Income,2021-12,4585.0,-235258.36999999982
2021-12-11,Evidence case.,Salary,56.12,Expense,2021-12,-56.12,-235314.48999999982
2021-12-12,Eat yes myself affect him.,Salary,1933.71,Expense,2021-12,-1933.71,-237248.1999999998
2021-12-13,Name machine tree maybe.,Health & Fitness,106.83,Expense,2021-12,-106.83,-237355.0299999998
2021-12-13,Conference five despite.,Salary,578.64,Expense,2021-12,-578.64,-237933.6699999998
2021-12-15,Speak line.,Investment,4030.0,Income,2021-12,4030.0,-233903.6699999998
2021-12-15,Yourself wind beyond prevent entire.,Other,3496.0,Income,2021-12,3496.0,-230407.6699999998
2021-12-16,Offer work home.,Health & Fitness,100.03,Expense,2021-12,-100.03,-230507.6999999998
2021-12-19,Door fish scene.,Investment,3469.0,Income,2021-12,3469.0,-227038.6999999998
2021-12-20,Agreement red way nor none.,Rent,778.83,Expense,2021-12,-778.83,-227817.5299999998
2021-12-20,My compare also argue.,Travel,1652.37,Expense,2021-12,-1652.37,-229469.8999999998
2021-12-23,Money a.,Rent,266.04,Expense,2021-12,-266.04,-229735.9399999998
2021-12-24,Future concern sort.,Other,3277.0,Income,2021-12,3277.0,-226458.9399999998
2021-12-26,Against only.,Health & Fitness,1512.38,Expense,2021-12,-1512.38,-227971.3199999998
2021-12-28,Suffer team.,Other,4596.0,Income,2021-12,4596.0,-223375.3199999998
2021-12-31,Relate product only from.,Investment,1622.0,Income,2021-12,1622.0,-221753.3199999998
2022-01-01,Wish run join.,Salary,1043.47,Expense,2022-01,-1043.47,-222796.7899999998
2022-01-03,Program sport her.,Health & Fitness,333.38,Expense,2022-01,-333.38,-223130.1699999998
2022-01-03,Concern ability reduce.,Travel,1191.51,Expense,2022-01,-1191.51,-224321.67999999982
2022-01-03,Company why really up.,Investment,3186.0,Income,2022-01,3186.0,-221135.67999999982
2022-01-04,Surface side nothing consider.,Salary,1420.39,Expense,2022-01,-1420.39,-222556.06999999983
2022-01-05,Determine not view cell seat.,Food & Drink,743.03,Expense,2022-01,-743.03,-223299.09999999983
2022-01-06,Word collection those become.,Shopping,1171.57,Expense,2022-01,-1171.57,-224470.66999999984
2022-01-08,Activity decide really go.,Food & Drink,1197.85,Expense,2022-01,-1197.85,-225668.51999999984
2022-01-09,Answer just.,Entertainment,1445.59,Expense,2022-01,-1445.59,-227114.10999999984
